Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled,Klaster,Klaster_HC,Klaster_DBSCAN
Nutrisari Belimbing,0.0,0.0,4,0.03,1.0,6.0,Minuman Serbuk Rasa,66.66666666666666,0.0,0.5,1.0120587174755151,-0.6493583970051195,2.107499525219225,3,2,-1
Adem Sari Madu Lemon Tea,0.0,0.0,15,0.035,2.0,175.0,Minuman Berperisa,8.571428571428571,0.0,0.02,-0.8041655178468263,-0.6493583970051195,-0.5166067736194684,0,1,0
Adem Sari Sparkling,0.0,0.0,23,0.095,1.5,250.0,Minuman Berkarbonasi,9.2,0.0,0.038,-0.7845145671039944,-0.6493583970051195,-0.4182027874130174,0,1,0
Cap Panda Cincau Selasih,0.0,0.0,25,0.025,1.0,310.0,MInuman Cincau,8.064516129032258,0.0,0.0080645161290322,-0.8200130587684649,-0.6493583970051195,-0.5818567286309143,0,1,0
Cap Panda Cincau,0.0,0.0,23,0.055,1.0,310.0,MInuman Cincau,7.419354838709677,0.0,0.0177419354838709,-0.8401826563050959,-0.6493583970051195,-0.5289513597027149,0,1,0
Tora Cafe Iced Cappuccino,3.5,3.0,14,0.15,1.0,180.0,Minuman Kopi,7.777777777777778,1.9444444444444444,0.0833333333333333,-0.8289773243403008,-0.2442044318400758,-0.1703705258560297,0,1,0
Tora Cafe Iced Milky Latte,3.5,3.5,9,0.29,1.0,180.0,Minuman Kopi,5.0,1.9444444444444444,0.1611111111111111,-0.915818647067462,-0.2442044318400758,0.2548318836780178,0,1,0
Golda Coffee Dolce Latte,2.5,2.0,15,0.105,1.0,200.0,Minuman Kopi,7.5,1.25,0.0525,-0.8376614566130169,-0.3889022765418771,-0.3389329096355985,0,1,0
ABC Kopi Susu,2.5,2.5,17,0.105,1.0,200.0,Minuman Kopi,8.5,1.25,0.0525,-0.8063985804312389,-0.3889022765418771,-0.3389329096355985,0,1,0
Kopiko Coffee Latte,2.5,2.0,20,0.11,1.0,240.0,Minuman Kopi,8.333333333333332,1.0416666666666663,0.0458333333333333,-0.8116090597948686,-0.4323116299524175,-0.3753788304528026,0,1,0
Good Day Tiramisu Bliss,3.0,3.0,22,0.08,1.0,250.0,Minuman Kopi,8.799999999999999,1.2,0.032,-0.7970197175767056,-0.3993205213604068,-0.451004116148501,0,1,0
Delizio Caffino Oat Cappuccino,2.5,2.5,15,0.12,1.0,200.0,Minuman Kopi,7.5,1.25,0.06,-0.8376614566130169,-0.3889022765418771,-0.2979312487162439,0,1,0
Chocolatos,2.0,2.0,13,0.085,1.0,180.0,Minuman Rasa Cokelat,7.222222222222221,1.1111111111111112,0.0472222222222222,-0.8463455888857331,-0.4178418454822374,-0.3677859302825517,0,1,0
Kapal Api Original Black Coffee,0.0,0.0,18,0.03,1.0,200.0,Minuman Kopi,9.0,0.0,0.015,-0.79076714234035,-0.6493583970051195,-0.5439412142323714,0,1,0
Chocolatos Rasa Cokelat,1.5,1.5,16,0.6,1.0,150.0,Minuman Rasa Cokelat,10.666666666666668,1.0,0.4,-0.7386623487040532,-0.4409935006345256,1.560810712961164,0,1,-1
Milo,4.0,2.5,13,0.075,1.0,220.0,Minuman Cokelat,5.909090909090909,1.818181818181818,0.034090909090909,-0.8873978505385729,-0.270513130876767,-0.4395733500740143,0,1,0
Nescafe Coconut Latte,4.5,4.0,14,0.15,1.0,220.0,Minuman Kopi Susu,6.363636363636363,2.0454545454545454,0.0681818181818181,-0.8731874522741283,-0.2231574726107229,-0.253202164076948,0,1,0
Tebs Sparkling Tea,0.0,0.0,31,0.075,1.0,330.0,Minuman Teh,9.393939393939393,0.0,0.0227272727272727,-0.778451463844498,-0.6493583970051195,-0.5016970787397032,0,1,0
Oronamin C Drink,0.0,0.0,19,0.0,1.0,120.0,Suplemen Makanan,15.833333333333332,0.0,0.0,-0.5771374884315336,-0.6493583970051195,-0.6259445360710806,0,1,0
Fibe Mini Rich in Fiber,0.0,0.0,9,0.02,1.0,100.0,Minuman Berperisa,9.0,0.0,0.02,-0.79076714234035,-0.6493583970051195,-0.5166067736194684,0,1,0
Benecol Lychee,2.0,0.0,6,0.055,1.0,100.0,Minuman Rasa,6.0,2.0,0.055,-0.8845557708856839,-0.2326286042639317,-0.3252656893291469,0,1,0
Hydro Coco Vita-D,0.0,0.0,9,0.15,1.0,330.0,Minuman Air Kelapa,2.727272727272727,0.0,0.0454545454545454,-0.9868706383896848,-0.6493583970051195,-0.3774496214083255,0,1,0
Hydro Coco Original,0.0,0.0,7,0.105,2.0,250.0,Minuman Air Kelapa,2.8000000000000003,0.0,0.0419999999999999,-0.9845969746673736,-0.6493583970051195,-0.3963352349226949,0,1,0
Pocari Sweat Low Calorie,0.0,0.0,9,0.13,2.0,250.0,Minuman Isotonik,3.6,0.0,0.052,-0.9595866737219512,-0.6493583970051195,-0.3416663536968888,0,1,0
Isoplus Coco,0.0,0.0,12,0.085,2.0,175.0,Minuman Isotonik,6.857142857142858,0.0,0.0485714285714285,-0.8577590198727314,-0.6493583970051195,-0.3604099701171651,0,1,0
MIZONE Lychee Lemon,0.0,0.0,8,0.065,2.0,250.0,Minuman Isotonik,3.2,0.0,0.026,-0.9720918241946624,-0.6493583970051195,-0.4838054448839846,0,1,0
MIZONE Cranberry,0.0,0.0,8,0.065,2.0,250.0,Minuman Isotonik,3.2,0.0,0.026,-0.9720918241946624,-0.6493583970051195,-0.4838054448839846,0,1,0
Sunkist Lemon Water C,0.0,0.0,15,0.05,1.0,330.0,Minuman Rasa,4.545454545454546,0.0,0.0151515151515151,-0.9300290453319066,-0.6493583970051195,-0.5431128978501623,0,1,0
Sunkist Orange Water C,0.0,0.0,13,0.065,1.0,330.0,Minuman Rasa,3.939393939393939,0.0,0.0196969696969697,-0.9489762430178328,-0.6493583970051195,-0.5182634063838867,0,1,0
You C1000 Orange Water,0.0,0.0,40,0.06,1.0,500.0,Minuman Isotonik,8.0,0.0,0.0119999999999999,-0.822030018522128,-0.6493583970051195,-0.5603418786001133,0,1,0
You C1000 Lemon Water,0.0,0.0,37,0.06,1.0,500.0,Minuman Isotonik,7.399999999999999,0.0,0.0119999999999999,-0.8407877442311948,-0.6493583970051195,-0.5603418786001133,0,1,0
Floridina Orange,0.0,0.0,19,0.025,2.0,175.0,Minuman Rasa,10.857142857142858,0.0,0.0142857142857142,-0.7327075151456193,-0.6493583970051195,-0.547846134319929,0,1,0
Im Coco Rasa Coco Melon,0.0,0.0,24,0.075,1.0,350.0,Minuman Nata de Coco,6.857142857142858,0.0,0.0214285714285714,-0.8577590198727314,-0.6493583970051195,-0.5087969334443533,0,1,0
