Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled
Sunkist Orange Water C,0.0,0.0,13,0.065,1.0,330.0,Minuman Rasa,3.939393939393939,0.0,0.0196969696969697,-0.9489762430178327,-0.6493583970051195,-0.5182634063838867
You C1000 Orange Water,0.0,0.0,40,0.06,1.0,500.0,Minuman Isotonik,8.0,0.0,0.011999999999999999,-0.822030018522128,-0.6493583970051195,-0.5603418786001133
You C1000 Lemon Water,0.0,0.0,37,0.06,1.0,500.0,Minuman Isotonik,7.3999999999999995,0.0,0.011999999999999999,-0.8407877442311948,-0.6493583970051195,-0.5603418786001133
Floridina Orange,0.0,0.0,19,0.025,2.0,175.0,Minuman Rasa,10.857142857142858,0.0,0.014285714285714287,-0.7327075151456193,-0.6493583970051195,-0.547846134319929
Im Coco Rasa Coco Melon,0.0,0.0,24,0.075,1.0,350.0,Minuman Nata de Coco,6.857142857142858,0.0,0.02142857142857143,-0.8577590198727314,-0.6493583970051195,-0.5087969334443533
Im Coco Rasa Mangga,0.0,0.0,21,0.035,1.0,350.0,Minuman Nata de Coco,6.0,0.0,0.01,-0.8845557708856839,-0.6493583970051195,-0.5712756548452745
Im Coco Rasa Stroberi,0.0,0.0,23,0.04,1.0,350.0,Minuman Nata de Coco,6.571428571428571,0.0,0.011428571428571429,-0.8666912702103823,-0.6493583970051195,-0.5634658146701593
NU Green Tea Rasa Madu,0.0,0.0,18,0.01,2.0,200.0,Minuman Teh Hijau,9.0,0.0,0.005,-0.79076714234035,-0.6493583970051195,-0.5986100954581776
NU Yogurt Tea,0.0,0.0,20,0.02,2.0,200.0,Minuman Teh,10.0,0.0,0.01,-0.7595042661585719,-0.6493583970051195,-0.5712756548452745
NU Green Tea,0.0,0.0,16,0.01,2.0,200.0,Minuman Teh Hijau,8.0,0.0,0.005,-0.822030018522128,-0.6493583970051195,-0.5986100954581776
NU Green Tea Rock Sugar,0.0,0.0,16,0.015,2.0,200.0,Minuman Teh Hijau,8.0,0.0,0.0075,-0.822030018522128,-0.6493583970051195,-0.584942875151726
Teh Javana Original,0.0,0.0,14,0.01,2.0,175.0,Minuman Teh,8.0,0.0,0.005714285714285714,-0.822030018522128,-0.6493583970051195,-0.59470517537062
Teh Javana Gula Batu,0.0,0.0,14,0.01,2.0,175.0,Minuman Teh,8.0,0.0,0.005714285714285714,-0.822030018522128,-0.6493583970051195,-0.59470517537062
Teh Gelas,0.0,0.0,14,0.01,2.0,200.0,Minuman Teh,7.000000000000001,0.0,0.005,-0.853292894703906,-0.6493583970051195,-0.5986100954581776
Fruit Tea Blackcurrant,0.0,0.0,15,0.06,2.0,250.0,Minuman Teh,6.0,0.0,0.023999999999999997,-0.8845557708856839,-0.6493583970051195,-0.494739221129146
Teh Gelas Blackcurrant,0.0,0.0,22,0.035,1.0,250.0,Minuman Teh,8.799999999999999,0.0,0.014000000000000002,-0.7970197175767056,-0.6493583970051195,-0.5494081023549521
Okky Jelly Drink Big Rasa Stroberi,0.0,0.0,10,0.06,1.0,220.0,Minuman Jeli,4.545454545454546,0.0,0.027272727272727275,-0.9300290453319066,-0.6493583970051195,-0.4768475872734276
Ultra Sari Kacang Ijo,0.0,0.0,20,0.065,1.0,200.0,Minuman Sari Kacang Hijau,10.0,0.0,0.0325,-0.7595042661585719,-0.6493583970051195,-0.4482706720872107
Ultra Sari Kacang Ijo Kids,0.0,0.0,15,0.05,1.0,150.0,Minuman Sari Kacang Hijau,10.0,0.0,0.03333333333333334,-0.7595042661585719,-0.6493583970051195,-0.4437149319850602
ABC Lychee Drink,0.0,0.0,19,0.02,1.0,250.0,Minuman Buah,7.6,0.0,0.008,-0.8345351689948391,-0.6493583970051195,-0.5822094310904358
ABC Minuman Buah Jeruk,0.0,0.0,18,0.035,1.0,250.0,Minuman Buah,7.199999999999999,0.0,0.014000000000000002,-0.8470403194675504,-0.6493583970051195,-0.5494081023549521
ABC Minuman Buah Sirsak,0.0,0.0,17,0.04,1.0,250.0,Minuman Buah,6.800000000000001,0.0,0.016,-0.8595454699402616,-0.6493583970051195,-0.5384743261097908
ABC Minuman Buah Apel,0.0,0.0,18,0.035,1.0,250.0,Minuman Buah,7.199999999999999,0.0,0.014000000000000002,-0.8470403194675504,-0.6493583970051195,-0.5494081023549521
ABC Minuman Sari Buah Jambu,0.0,0.0,18,0.03,1.0,250.0,Minuman Sari Buah,7.199999999999999,0.0,0.011999999999999999,-0.8470403194675504,-0.6493583970051195,-0.5603418786001133
